,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
64,patients|Age,Chronic skin conditions,adequate treatment,LHRH analogs),CAIT score,pneumococcal vaccine,implanted medical devices,signed||Mild Cognitive Impairment (MCI),no more,Oxford University student,within 30 days or receipt of,younger than 50,more than 14 units per week,,clinical examination||,"screening|Any other reason that, in the study PI opinion",have an,"Patient refusal to epidural analgesia,|Contraindications of epidural analgesia"
65,Ver,symptoms of rhinitis triggered,hypercalciuria;|drugs,Cockcroft-Gault formula,glomerular filtration rate (GFR),KOA,dialysis,screening).||,failed,PD-L1 status,during this,≤ 36˚C or ≥,≥ 75 x 109/L;|Hemoglobin ≥ 90 g/L;|Serum,,active,Written informed consent|Male,Being a,Willing and able to provide informed consent|Male
66,RI)|Age,nephrotic rickets,corticosteroid treatment,Signed Informed Consent Form (,Neutrophils,peripheral artery disease|Individuals,speak Catalan,Wi-Fi network.||,can not swallow,5:2 programme,within 28 days before the first administration of the study treatment,below 0.8,<3 x ULN,,likely to alter absorption of study treatment.||Any of the following,able to learn to use Cup B,The patients who are included in the,The parents will be excluded if they cannot understand and sign a consent form and are not willing to follow the the clinical trial procedures
67,well;|Male,situations judged by the investigator,drugs used in the procedure,Breast-Feeding,prostate cancer in situ),report||,pace maker,management,patients|Patients,on steroids|Patients,within 1 year,>=20 milligrams,maximum frown,,unable to adequately,"Written informed consent for participation in the study|In the period between April 1, 2021, and September 31, 2022, all COVID-19 positive frail patients identified by",Is a US Veteran|Meets,"The patient or his/her family refused to participate in the clinical trial;|Severe heart, lung"
68,negative.|Male,type 2 diabetes of the Ministry of Health.|Pregnancy,proton-pump inhibitors|Insufficient knowledge of the Dutch language|Pregnancy,enrolled in intervention,HistoSonics Edison System.|Subject,local heart team,mismatch-repair system,University of Massachusetts,with the exception stated in the inclusion criteria,unaltered dosage)|Left handedness,after first- and second-line therapy,1-month,1-week intervals,,splenectomy,"Inability or unwilling to give informed consent|Women who are pregnant, breastfeeding or","Additionally,","The subjects voluntarily participate in this study who are able to read, understand, and sign the ICF before participation;"
69,ia:||Age,transient stroke,Medicine,Psychiatric Care|Protected,Comorbidity Index (HCT-CI,"risky labor,|Postpartum bleeding,|Epidural analgesia",implantable defibrillator,ER,Denial of,upper extremity finger for a period of one-hour,after allogeneic hematopoietic stem cell,≥ 95%|Viral load,≥ 8 hours,,unable to discontinue,The exclusion criteria were,"Inability to obtain informed consent from the patient, family member or legal representative,|The presence of a focus of non-sanitized surgical",refusal to participate|allergy to the study drugs|chronic kidney disease (creatinine>150 μmol/L)|mental illness|liver
70,Teenage,normal chromosomal microarray (CMA),GLP-1 agonists,sputum purulence,turning,cutaneous GvHD|History,saphenous vein graft||,Permanent,nment-,pandemic,after first-line surgery/radiotherapy/chemotherapy,"18 to 45 years,|3 to 24 months postpartum|Criteria of",20 min,,symptoms arising,6、Women who can accept biopsy,A male participant of,Unwilling to participating current clinical trial|Cannot tolerate SGLT2-i therapy|Not willing to join the study|History of
71,volunteers|Age,human T-lymphotropic virus (HTLV),nurse anesthetists,Caring,hydroexfoliation cytopathology of the chest and abdomen,kidney transplant.|Planned surgery/procedures,etc).|Cardiac pacemaker,University of Chicago Medical,other relevant,moderate-severe,at least 1 of the following conditions apply:||Not,C)|Surgery,greater than or equal to 2,,anticipation of the need,Patient sign Do not resuscitation,"Additionally, you cannot be involved in another investigational drug study during your participation in this study",patients who didn't consent
72,weeks;|women,uncontrolled angina,erythrocyte,unable to provide consent,ER/PR,"Global Assessment (IGA,",worker,standardized uptake value (SUV) mean,can not quit,non-nasal ENKTL,within the last 3 months|Pregnant,I - III|Patients,≥16.0 kg/m2,,Willing to consider,Able to provide written informed consent voluntarily;|Age,methods.|Male participants agree to practice true abstinence,"Understand the specific process of the test, voluntarily participate in the test, and sign the informed consent form in writing（In healthy people and"
73,age.|Children,missing,components thereof,family medicine|had,bone metastasis,placement of a tenaculum and/or uterine sound,unresectable,University Hospital Inselspital in Bern.|Patients,no menses,stage IV renal,for at least 3 months|Ability,< 1 year|Unable,replacement,,unable to comply fully with study procedures,Written informed consent prior to any study-related procedures.|At time of study are a young adult,Participants unable to tolerate,provided written informed consent
74,IIIB,Marfan syndromes,acid suppressor,expected to stay in the hospital,pregnancy|Body Mass Index,vaccine vaccination,croscarmellose sodium,University of Colorado,prohibited,selinexor.|Serious,within 4 weeks before the inclusion|Subject previously treated,<40 ml/min/1.73 m2,exceed 2 times the upper limit of the normal value,,Expected to,Written informed consent must be obtained.|Healthy Chinese,Chinese males,Provision of signed and dated informed consent form|Stated willingness to comply with all study procedures and availability for the duration of the study|Radiologic and other clinical evidence leading to a diagnosis of NCFBE|1 CF-causing mutation
75,first response,bariatric surgery|active GLP-1 receptor agonist treated diabetes,dopamine antagonists,comorbidity.|Able to communicate coherently,60%)|Absolute neutrophil count,herbal therapies,prescription,University of Westminster;|A first generation student (FGS),not excluded.||OR||Untreated,corticosteroid replacement,in 14 days before intervention,<90/60 or >140/90 mmHg);|Low blood oxygen saturation,more than 4 weeks,,pheochromocytoma;|Taking,Written informed consent of the subject to participate in the study,gadolinium.|Male and,Patients than or equal to 75 years old|Clear
76,volunteer,Darier disease,Sotalol,method of contraception,SARS-CoV-2 detection,videofluoroscopy,hot yoga,Adult IBD,except 2,under 8 weeks,within ≤ 2 years before treatment,≤1.5 times ULN,one of the,,interfering with the,Not able to read in Spanish|Not able to give their consent,The presence of the following diseases,intellectual retardation)|Addictive behaviors|Current major depressive episode
77,year,Mental retardation,N06AA,breast treated,Mass General Brigham questionnaire,immunosuppressive treatments,cerebellar,pediatric neurologists,not opposing,12-lead ECG|Indication,for at least 1 week prior to the examination.|Depressive,>18 years.|Performance status,more than 2 cups/day)|Patients,,need treatment;||Tumor related,Informed consent form for participation in the study signed by the subject's legal representative;|Subjects of either sex under the age,pregnant women|postpartum,"Parent's consent to participate in the study|Stable clinical status|The child's motor skills should be at a level to be able to play with play dough and should be developed according to his age,|The child's ability to speak and understand Turkish.||"
78,Minors,neurocutaneous disorders,proton-pump inhibitors,expected to recur,TcpO2,unique treatment options,primary/1 booster,Well-differentiated,Not to,Non-gestational diabetes,up to 6 target measurable nodes,>= 60 ans|Poor,< 1.5 ULN|blood,,disease.|Planning to,Able to sign informed consent|Biopsy-confirmed intermediate/high,If a subject meets,Refusal to participate in research protocol.|Patient under administrative supervision|Pregnant
79,●,poor oral hygiene.|Patients,drug medication,submucosal,||Serum creatinine,rectal cancer|Previous pelvic RT,treated|Metallic implants,indicated|Age,no PR,distal implants|Healed sites,in the next 3 years,20-30 minutes,2 weeks before surgery.;|Patients,,biochemical signs of,"Patient capable of understanding, signing and dating the written informed consent at baseline visit prior to randomization.|Patient",yo|Pregnant women.|Breastfeeding women.|Consent not given|Claustrophobia|Incapacited subject or,"The subjects who don't meet the inclusion criteria, being old age geriatrics (more than 50 years old"
80,they||are,type of cancer,drug abusers|Judgment,Non English Speaking,APRI,full COVID-19 vaccination,fixation devices,University hospital,not eligible.||*'consider,low-potency topical corticosteroids.|No occurrence,prior to concussion episodes|Diagnosis,≥1.5x10^9g/L,2-dimensional,,low risk,Able and willing to provide a written informed consent；|Eastern Cooperative Oncology Group (ECOG) performance status,The patient,Provision of informed consent prior to any study-specific procedures.|Male
